,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
168361,0.61182,0.5808,0.60281,0.61291,0.62382,0.62869,0.62161,0.63093,0.45459,0.02044,0.04733,0.06119,31.52
50003,0.16694,0.14267,0.14282,0.15623,0.25161,0.30358,0.28169,0.36073,0.01559,0.00066,0.50378,0.31836,71.5
127877,0.38678,0.3752,0.38433,0.43641,0.58225,0.61815,0.63151,0.6427,0.58189,0.21167,0.20588,0.21224,56.62
97158,0.97284,0.90003,0.92138,0.80722,0.87359,0.94767,0.80986,0.98807,0.03539,0.00036,0.91711,0.58348,52.75
142698,0.57228,0.53644,0.5646,0.55249,0.59811,0.62928,0.58087,0.65223,0.13488,0.00038,0.07154,0.08645,58.72
178430,0.65717,0.64039,0.69044,0.72768,0.83261,0.89436,0.89085,0.96498,0.5321,0.11245,0.56505,0.46447,44.21
94039,0.41264,0.47784,0.70566,0.81102,0.91822,0.99136,0.97576,0.99793,0.6523,0.0266,0.9032,0.66744,53.94
11591,0.43319,0.46457,0.42605,0.51066,0.84309,0.95524,0.8517,1.01066,0.12712,0.00035,0.70389,0.45564,39.11
108421,0.25807,0.24865,0.28689,0.30094,0.36633,0.41173,0.38448,0.45193,0.0976,0.00668,0.26822,0.21531,68.34
38189,0.30835,0.31698,0.31978,0.34973,0.46644,0.52069,0.46502,0.54795,0.13971,0.00565,0.45965,0.30934,34.64
18045,0.45131,0.54254,0.61056,0.63959,0.86606,1.00867,0.82268,1.08078,0.1049,0.01385,0.88426,0.49677,32.78
57689,0.28961,0.28958,0.34134,0.37149,0.40287,0.42666,0.44269,0.4698,0.29497,0.00653,0.63089,0.48902,74.64
77859,0.28231,0.23998,0.26021,0.28436,0.43335,0.51968,0.43286,0.5852,0.01342,0.00109,0.46384,0.24086,84.37
37047,0.64179,0.61472,0.6538,0.68331,0.76506,0.80579,0.80027,0.83967,0.59682,0.17281,0.70633,0.57965,50.57
63953,0.29356,0.33451,0.39761,0.5848,0.83299,0.91548,0.89872,0.96656,0.34183,0.00125,0.62284,0.42007,79.45
50263,0.1766,0.17223,0.18655,0.23318,0.32632,0.36627,0.35805,0.4185,0.06356,0.00065,0.48644,0.37397,71.26
9833,0.67685,0.68281,0.69887,0.69165,0.80756,0.87245,0.77355,0.89206,0.20154,0.0004,0.5589,0.35411,32.84
139929,0.58548,0.57625,0.60487,0.66451,0.80883,0.84832,0.8525,0.86243,0.73121,0.24738,0.14638,0.17832,51.31
38541,0.23698,0.24394,0.29653,0.32113,0.38169,0.40926,0.39518,0.42072,0.17918,0.00577,0.42803,0.34353,32.74
132914,0.31981,0.35734,0.40521,0.48468,0.66327,0.72902,0.7139,0.7951,0.23884,0.00127,0.4154,0.39082,34.97
196303,0.86437,0.81877,0.84992,0.86598,0.88315,0.88784,0.88216,0.88703,0.84861,0.37807,0.16287,0.19339,50.42
162454,0.46659,0.42874,0.46262,0.50462,0.59552,0.62598,0.63707,0.66057,0.48756,0.04716,0.18545,0.19266,71.28
36360,0.94771,0.88359,0.9327,0.91913,0.94547,0.96527,0.91214,0.98063,0.47726,0.02898,0.57225,0.4942,51.19
57657,0.17724,0.19472,0.20236,0.22717,0.34933,0.40309,0.3624,0.4339,0.02738,0.00028,0.42871,0.29768,32.47
61096,0.27345,0.37276,0.41993,0.60434,0.7638,0.81182,0.82785,0.84399,0.67842,0.10795,0.38517,0.26055,64.77
199868,0.81947,0.77807,0.80218,0.79108,0.83753,0.89004,0.82565,0.9448,0.54244,0.05441,0.08566,0.10485,39.23
82599,0.39596,0.58915,0.73154,0.86558,0.92295,0.96872,0.87033,0.9953,0.10832,0.00036,0.93758,0.69037,40.57
188186,0.85521,0.81056,0.84045,0.84549,0.85758,0.86498,0.84098,0.86583,0.68957,0.1436,0.09067,0.11309,47.72
58658,0.22734,0.24376,0.31139,0.31555,0.38878,0.4343,0.39444,0.46403,0.03764,0.0003,0.417,0.29727,40.89
4417,0.50887,0.4886,0.52078,0.54139,0.56275,0.57188,0.57492,0.58186,0.48665,0.11815,0.48375,0.36292,41.04
30122,0.52454,0.47052,0.49928,0.5067,0.57143,0.63864,0.57839,0.69196,0.2698,0.00907,0.46547,0.34437,75.34
89927,0.22395,0.24932,0.28542,0.34648,0.64836,0.76465,0.6925,0.85263,0.04122,0.00036,0.72828,0.44717,64.99
86792,0.4475,0.48015,0.49472,0.50669,0.65678,0.74438,0.66027,0.79822,0.04052,0.00026,0.72337,0.51142,39.2
40297,0.45019,0.427,0.47202,0.50151,0.53493,0.54852,0.54554,0.56263,0.38066,0.06226,0.43269,0.28049,67.64
125119,0.65363,0.56989,0.6215,0.64713,0.65849,0.66192,0.65608,0.66374,0.54519,0.11034,0.12744,0.14897,78.71
186027,0.72753,0.67856,0.72958,0.7516,0.78773,0.81634,0.80985,0.86319,0.51045,0.0485,0.10768,0.12845,62.55
26148,0.29365,0.34208,0.39358,0.51747,0.78395,0.87619,0.92751,0.98452,0.76037,0.08468,0.9622,0.59668,41.35
193295,0.56298,0.48475,0.54655,0.6015,0.72508,0.7387,0.72144,0.74378,0.43247,0.01169,0.07621,0.09073,80.3
98873,0.30522,0.35839,0.4124,0.46924,0.68565,0.7704,0.68665,0.79717,0.06563,0.00047,0.73105,0.46373,49.2
29198,0.71265,0.71542,0.7433,0.75794,0.93825,0.99034,0.88396,1.02384,0.26915,0.00088,0.72879,0.57001,41.62
136392,0.47504,0.45715,0.55702,0.61039,0.71722,0.77653,0.79304,0.84043,0.49406,0.00493,0.23659,0.20704,72.19
106240,0.99214,0.92598,0.98117,0.99587,1.00444,1.00646,0.99312,1.00757,0.73699,0.09625,0.0873,0.10838,45.94
87465,0.27699,0.24895,0.287,0.2815,0.4181,0.52059,0.40147,0.57972,0.00801,0.00093,0.47287,0.20861,82.6
114640,0.9142,0.84002,0.88605,0.84415,0.88126,0.91958,0.83495,0.94531,0.32078,0.13906,0.21992,0.28507,62.56
25933,0.63006,0.58421,0.61736,0.59137,0.63084,0.66544,0.60809,0.68885,0.12014,0.00031,0.54732,0.41944,64.39
16436,0.76181,0.74281,0.78867,0.78174,0.84409,0.9043,0.82618,0.96436,0.34144,0.00366,0.68476,0.52204,43.13
131440,0.55483,0.51327,0.52028,0.46722,0.49628,0.52865,0.46129,0.54474,0.03625,0.00031,0.05627,0.06316,48.1
33217,0.27653,0.31611,0.29767,0.41309,0.74032,0.81971,0.82522,0.87755,0.44974,0.00257,0.8733,0.62138,44.94
165885,0.75662,0.71417,0.75658,0.77285,0.79284,0.80245,0.79283,0.81266,0.54341,0.09542,0.44246,0.41196,42.45
